,종목명,현재가,전일대비,등락률
0,오리엔탈정공,"11,910","상승 1,010",+9.27%
1,원익홀딩스,"11,310","상승 1,970",+21.09%
2,삼현,"19,330","상승 4,460",+29.99%
3,세진중공업,"22,700",하락 800,-3.40%
4,하나마이크론,"15,830","상승 1,810",+12.91%
5,미래에셋증권,"21,950","상승 2,250",+11.42%
6,네오셈,"9,160",상승 740,+8.79%
7,삼성전자,"71,300","상승 1,200",+1.71%
8,두산에너빌리티,"62,000","상승 1,100",+1.81%
9,한선엔지니어링,"8,680",상승 510,+6.24%
10,삼성중공업,"21,100",하락 150,-0.71%
11,메타바이오메드,"6,370",하락 30,-0.47%
12,엘앤씨바이오,"50,600","상승 1,650",+3.37%
13,제주반도체,"18,080",상승 370,+2.09%
14,우리기술투자,"10,310",하락 650,-5.93%
