상품명,가격,url
Apple 애플 아이폰 13 미니 128GB 새상품,"298,000원",https://cr.shopping.naver.com/adcr?x=NSWFnSrZZDtKI9jg%2BTHCsP%2F%2F%2Fw%3D%3DsNovepaXkPL2svCP0k9bm561odJ2%2F6LBtogIwFjN3ri1yoYErd7Wx1dfdVO6hh7qVZ4TDxwAhNmm2sB7REec%2B%2BcKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojmI2pf6w7%2BZPRPmsiCF%2FDqbnUM4PbNixF03EUqHcGaSHf0tRItGsVdjhlt3JkjekEyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF1zPnBo0jGi%2FSdSlDWdPE2TPsT%2FxSjpUJFdlZfyHQtivweL8mDjug0MMBKQwp4NOEHBz7%2BORHa%2BX777%2F5U82WuFClV6w5UIcD7iElKPt4xFA%2FgE8e9QQc4K7zOyHVjcWSv6jQnn8m0skKQEOM3w8AiEmm1JLu3o30uX0kQP1eRkNfHIsJdUagYtylP20Ue0qWTXdwMZv%2BsjaOq%2FaIlKn6P2gbBqsN8Zes7AE1dCnTE379f04SLzEOLuWyApwkiBtsHdFr7skMvkOMBUq0V%2FWcMEKs1Ua8XULYTCnO9fYrVsTF7VsaTLuUmCaaMN%2FRmNua8phM4Xkqwer6KAYBzWkB5nEopvkYbWlTBuKOBID7cdbPWWjV8vjdCf6NvpU6ceBDKVwmwH%2B3aWprpLokeMIk%2FDaGimR4pR27mrh1IoDTOSgA%3D%3D&nvMid=88573763568&catId=50001519
아이폰 16 프로 128GB [자급제],"최저1,538,900원",https://cr.shopping.naver.com/adcr?x=JlAJL1o6s1CsOaGuFx%2BoOP%2F%2F%2Fw%3D%3Dsv%2B7qaDg9ZbzkhewfSc%2FNDRsVmF%2BoI%2FaEZ%2B2b8EgTULjxTAJR5s3V3RheLYZrm3hTZKdpByhJKOYookEdJuuecGg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUQlG88JdT4Wf0zM%2BjZEk5p9sHPIVch1P4jUXascQaYSmhxqUsJJZLmlLSsgEI%2BaA2334rL%2BbR36BhYe0R%2FrUmjkI1yUrC8vID%2FKz%2F8c89qMtRDsmyJXi8r0AaBiYB%2FiTAY2ZxuAuvSW7ZwIsaDJftz694IFlqpi2PXO88uXmhtpGOCUY%2F2cZMS8BZjAxb%2FsTWtWdzvBx2p8K%2FermWgxtxkgez%2FY8eSma9aMvarLWce5vQzaIFUX0VI1vVG0tlEkh%2FwYnL%2FPh%2BHAFwXS68JXu170qNGnYP2mQGFwl2o9AJeRPL%2FwrU5jKJQbNaMC5e8KX7y6PIfs6fCKioZbFmmtYKZwtK%2FlJjOKzlJV2IEBfprxGgld0VhQhWKORjhvxxNeaY2TXG%2BgwroNTvnkoJlUgS6dYcPCZJs3ATganiXKNXJJGYlmWLAT8hmRCr4fwSVvb2uMy2qfIqAIAIJF6QL7M5jiZpuEtbKuy6ExfdXYBRDddicchwRNwmJ84TyxvjggzF4N9pX5UZQKDG3WiyA44eb8bFOcpEv2JF6Agi5hTugAfHICEQpPL7Rm%2B2fyhjEhHR&nvMid=53599505975&catId=50001519
아이폰 16 프로 256GB [자급제],"최저1,647,940원",https://cr.shopping.naver.com/adcr?x=T%2FcdiEwumDV5ijVWZaZttv%2F%2F%2Fw%3D%3Ds0iTuhZrCFTp0xkXcUTtz2FSVVk%2BBvr97qGC9QTuQXZJyoYErd7Wx1dfdVO6hh7qV%2B3fLIKRT37P6BxX5thg6gMKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojmI2pf6w7%2BZPRPmsiCF%2FDqbnUM4PbNixF03EUqHcGaSHf0tRItGsVdjhlt3JkjekEhmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9D32oY5X1SF6vhOqs7u%2B6lWIk7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VExGrCVcWZxUYVdjs%2FHfLzanAKf8C291BuVeZpLynUOGBCGSQdcrj%2BZJHLmJxgT%2Fbv%2BEPKJdnzomj5kRDrgFXrZPmO9iu8DAZY2q64aBKOCFDokh7KNEkkbwBBKOUFOEEozj6zPDboThK1w3Gm066XdmjaLUt6VDBH89eVzxEfT4CI28QDIftdPo5sZ73mZF1SEx5pB%2BgQZ8iK21lVxmWuOseZHaS%2FOwSyXnheJKBgZiCLkdKvOGEI4xa5d1nG8Ze%2B%2BvtA8G%2BumtHrLoxz0kz1ycoCy58bcVaifZhEM0dbnGySIypLg7A1z22Y39UmYMFOdSlPOZBN6V54TTL6u%2FzFsRMBotYHnhzLrAnNGiK5ydOPVa5Lb2HABmc1I3dWl4VhWhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=53599506392&catId=50001519
애플 아이폰 13 미니 128GB 미개봉 새제품,"298,000원",https://cr.shopping.naver.com/adcr?x=MDdkCY7NNzIlkq5Bz5KSav%2F%2F%2Fw%3D%3DsTfgA1lF1iY4XoHxEYPHAs1BCPmcB5j5FZeDQr%2BNSvwlyoYErd7Wx1dfdVO6hh7qVaBPFRWp7NKBlgQ8g3Dsz6sKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojmI2pf6w7%2BZPRPmsiCF%2FDqbnUM4PbNixF03EUqHcGaSHf0tRItGsVdjhlt3JkjekEyaxxRm4H8HcYDi0B3B3iQmfQT7uWwvxdz8nMvhXCKF1J7CcSJ0DIUdHAyuPJ6A8oPsT%2FxSjpUJFdlZfyHQtivweL8mDjug0MMBKQwp4NOEHBz7%2BORHa%2BX777%2F5U82WuFClV6w5UIcD7iElKPt4xFA3Rzk%2B2MYn6a0xuKH9St%2FrdiqLiNlmzCnpU6thOdl5TNzNkTSpHA0MweXJzCyjK%2F8A0Vsw7XVKFw700NxxBD6yyrBsr40uOCEKhwZbijibmwPzBCY4AqQ%2FQeGLKVJrr5KO4Op6Qqk%2FAjgzSBnQsHlvfG6XJk6mHQ6yVbXZpe23hfC%2Bp633m53JCQqoKkv9VJyI7fn5YhJT4FBfY%2BzNthT0ajrgWQ%2F0JBsjHud4pzo5y1pldvFZmjQ7Xzw3dwBLSdwqTagkydCVnVWDXvIgO0YaZxDfP%2Buap77KkqSY79OuUG5Hv1T%2FoDPeAT2ZD%2BWCfnsQ%3D%3D&nvMid=89710098371&catId=50001519
Apple 아이폰 12 mini 자급제  화이트  128GB,"458,000원",https://cr.shopping.naver.com/adcr?x=DNvUaWn4Vb2b3ygfrgMdZ%2F%2F%2F%2Fw%3D%3Dsuo4HS89CLMeNWtPnALezIU8asFonXyDvwfNVltm3uvtyoYErd7Wx1dfdVO6hh7qV3oKhQQyFTTvRRhL92RLxFcKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojmI2pf6w7%2BZPRPmsiCF%2FDqbnUM4PbNixF03EUqHcGaSHf0tRItGsVdjhlt3JkjekE49gWwo4YAEWGPlnOMWQUB4qPKnSzTV71gbnTAjWaxQ8K0vzrc1MN6Wq0egkkOYlBlpstgOy9zp%2BUjPayjciHK1CKn5rFcfQ7z965oI0sayA9vUOXdxqvoxceUGcNydPMtO3giCU6bBNsNJy4lnpeasIczVljaOD%2Fisl2P1zGKq61WhOEoPJEiK9%2B0vZUYhMqiZ5t4jM1FZfMPZV16ArB35wCn%2FAtvdQblXmaS8p1DhgQhkkHXK4%2FmSRy5icYE%2F27BW36r4QZshREfg%2B3vq7RNpC7HiO06V6oqsokCIeVsozf5TRm4ebkeqR55xTMCpWjtct%2F3I9iBkFWCprTyrPZqOI02FIoMdpYYAGMl3Am83CcED4m3eDgP3evEaHPdaQE9vTlWpBwVtppt%2BL4fyGJ7qkNyY2kR9THdiV44y3ZJdeS96fHruAsVB%2F4IY9wYk4idTMfBRHHl%2BACi0MHpr%2BIH5hj002Ogq77a8WFYr7d9xo2IWAinpDwg720zBf8CUKXVfariWVbKGz84bjNtDCdgXRXrEJaZniHZGAY5qWX8s7N20HB5d3lwx1loX%2BJnTiFBq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=55795851881&catId=50001519
아이폰 16 128GB [자급제],"최저1,232,000원",https://cr.shopping.naver.com/adcr?x=WqHNPvVox5zL6hd0%2F39j%2FP%2F%2F%2Fw%3D%3DsGnZ7JR7WMeZKl1eB66PL%2FVbGPHkTL4MMHns9bYWHI%2BoAjU5j3gjlMYsRq8%2BGHFpSNDrLgx8B4WUtaEFcMo8UWTXJD0NsZoE8wg%2BLc2SvDZhHRaISaXjSXtxpkOUV9xcVoe804vAexvuIKtdxYPjx16HkmzrFVpSBPeoYcmtkM5gynDJp2%2FkvnuV69VRR7qop2h%2FqNbmMd3P9tE5jamCbKQuIB8ncdehaYvLTVmrbJlHcJpcE2Ne6Ok0y9pbE5dYQ%2F2M7NukjaZEovSPMpRwZE%2BE8YCiibN06F7pXXqOPTLCYUXCaGwk1EXlpq6wL997elLYZotmRp8lJel5%2BCjiIY6Tq%2FbD2MGowZHhNOyBhpCeUgj7JhipZW7dJJfFyMQl0NZifuv94QXLzIydYkunVkWovNxFWzA781dOsDXmXgY1sXg5lUvZD9zC7Fi9WJJOHOC5CYCWgpztHEQ4JQULl25w9%2FDMX2S1ZzF2txO07wpSHt5FeG%2FH7Xww%2F%2FMuALSoljDFpNKsYTAdK7nLAuuyHjaWAxwKjSAkhiEGe7TycblcvuEKoypwn4%2FkukrXKy3HW61JV%2FLIz3rS4VPLPhSxRCoaqtVKVX3mw8TucbEAaecgRpOFzCbaM6OU97uoPifjrD24tWwDPFUOeslYuIrLAu5gVSSouQhuSSI9aEQkL383Njqh%2FZemCCOboDhnweAmG&nvMid=53599047304&catId=50001519
아이폰 16 256GB [자급제],"최저1,394,000원",https://cr.shopping.naver.com/adcr?x=Ok14phMzUq7QZxl5iONivP%2F%2F%2Fw%3D%3DswIhAdPQm0raP3pKelQxfu2Q1NJcJVsjn4sf7qAVAZm5yoYErd7Wx1dfdVO6hh7qVaNz0Ape3%2BSI66snXhy7J1MKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojmI2pf6w7%2BZPRPmsiCF%2FDqbnUM4PbNixF03EUqHcGaSHf0tRItGsVdjhlt3JkjekEhmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9C2S8lPfnVq83nXPWoxTzKsIk7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VExGrCVcWZxUYVdjs%2FHfLzanAKf8C291BuVeZpLynUOGBCGSQdcrj%2BZJHLmJxgT%2FbsFbfqvhBmyFER%2BD7e%2BrtE2dBZn0LZ2pCzVI2QWQGQivDokh7KNEkkbwBBKOUFOEEozj6zPDboThK1w3Gm066XdIDdbLiBSEDE7DdJnVe26%2BCI28QDIftdPo5sZ73mZF1SEx5pB%2BgQZ8iK21lVxmWuOxttOs6EyZCkSSnhQS3MqZCx8xjeouQz3msf9CMCOpN4cjM2bv6k5luHkvpnL0SYW7970rYiNVySojnhJJM%2BG%2BhD6NcPFt3jjwRA2Br8gLZ%2F6C0XXk8ySaOQ0OaLzzIxFPoJTvXf8%2Fw%2BzLVNCkOJeIKMTgJLsTLipl9Wys41oJcOFbDf4gHI5rSMJU1BWcIOg&nvMid=53599047322&catId=50001519
아이폰 15 프로 256GB [자급제],"최저1,393,900원",https://cr.shopping.naver.com/adcr?x=K%2BRdvNicF%2F%2FB4P3AvMgY7P%2F%2F%2Fw%3D%3DsDVEuTZ2w%2B1dMnh9LE0bBWkFztRSczYJFSga5HO4JxglyoYErd7Wx1dfdVO6hh7qVY%2BZdWCFNqxuAwtG9yzt8%2FMKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojmI2pf6w7%2BZPRPmsiCF%2FDqbnUM4PbNixF03EUqHcGaSHf0tRItGsVdjhlt3JkjekEhmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9BzJ2m9xzVX16%2FGarX%2B01r3Ik7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VExGrCVcWZxUYVdjs%2FHfLzanAKf8C291BuVeZpLynUOGBCGSQdcrj%2BZJHLmJxgT%2FbtkL5JdTHDItRySe25wAAG1R6V8ba65TYLDly4xNsWXrDokh7KNEkkbwBBKOUFOEEozj6zPDboThK1w3Gm066XdbPlzSJoxS5ir9m382EfkKiI28QDIftdPo5sZ73mZF1RE23oETAfIPiEiCuydkEzSseZHaS%2FOwSyXnheJKBgZiCLkdKvOGEI4xa5d1nG8Ze9OjdzAmgxcdeo6nuQvHjmf0t%2FrWB%2F4NJHdQf700XPXpwxMq3r3K19OpyP1AdiOSGydSlPOZBN6V54TTL6u%2FzFsRZfXzqFbyeOSzdvv0zT%2F9p2pcQhU2gvmt9y7CGwX3wNWhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=53599860411&catId=50001519
아이폰 15 128GB [자급제],"최저949,900원",https://cr.shopping.naver.com/adcr?x=6P2FpXUlcpHKjkts064Jcv%2F%2F%2Fw%3D%3DsI229RJgr0OtEy19IbzLzQrGroo%2Bd8pvvBwBU%2Bw6uttdyoYErd7Wx1dfdVO6hh7qVumCkQVuEhxzegaoiTz%2BnwcKdlAuo4CRofAy%2FiHp8jqv8RtWXQ%2B4yWv%2FzzZujOpojmI2pf6w7%2BZPRPmsiCF%2FDqbnUM4PbNixF03EUqHcGaSHf0tRItGsVdjhlt3JkjekEhmeWtJmvw8M90EK%2Bzy5a114nEdwofithSFzlLG8az9DkPvY159v1MHjs675vOAsGIk7uNvEAL%2BEcmclsT2kPbblIRP%2BZOH7CveIqcMav0VExGrCVcWZxUYVdjs%2FHfLzanAKf8C291BuVeZpLynUOGBCGSQdcrj%2BZJHLmJxgT%2FbtkL5JdTHDItRySe25wAAG1M0f40sQFbegBOEfBLHRQ%2FDokh7KNEkkbwBBKOUFOEEozj6zPDboThK1w3Gm066XdFfE%2FYX0XJyqp%2B2kw6JU7LiI28QDIftdPo5sZ73mZF1RE23oETAfIPiEiCuydkEzSkpNvxu4flzQ%2FtIZsO3GWhyx8xjeouQz3msf9CMCOpN7KfVot%2FxLIB4jpEjeA0jmpa3MO0cdM5r1vmNQnqXjwf9QSUi4EyCEYXGmTiomOMpm%2FhgaMkJIhbUi8HFdPXAb32sYbH8CDRIveXRReBdsMn%2FDUrD7XHwYclQ9qMxbuquIOEsHC78VBLnFZh%2FnDobeN&nvMid=53599527966&catId=50001519
해외아이폰 5S 무음 공기계 인스타 카메라 감성사진 학생폰 세컨폰 실버 16GB 항공,"79,500원",https://cr.shopping.naver.com/adcr?x=7hoRDmcVnfktqtOKIU9s4P%2F%2F%2Fw%3D%3DspV8asmMufUSu48nZVCYuYTixvkwd7eBqmHf12%2FnYNPLxTAJR5s3V3RheLYZrm3hTeimR1%2BPUTTB19l6ov8dcBmg6HabDTRx466CGciRiUnFBZuMfzSBinsMMtj7lqMfUQlG88JdT4Wf0zM%2BjZEk5p9sHPIVch1P4jUXascQaYSmhxqUsJJZLmlLSsgEI%2BaA2RL6iu0rN9ANYEXkZX8p%2BoSEm%2FeWMmjv1VUimPr%2BbdY4jEyopR0FnI8u182%2FcABfRyZW29S%2FxmJTeeLuiskIaAQSsuJVqkvCUm54YYnYiEnOKx7G3krbJiQXzryuwwOqJwMQ42%2BoiLo3E%2FkFOmmckPaj6Lm3LKZr720%2FN9LNHtr1drU9gBvTOY8XVxGgpGxxdKhosZ12eCw8FGIi5s7Izyl1uuJZf0r9gTa48YM%2FRf9hW%2B9MTi6DnMgSXAqQ83li5ZrUrRlFA601AiqsyR5rMmbv6d19Vyw5uIBmQzKP9mJ%2BvWeUElhdOU1eoveahSnOq7PZsJoExrgCMAHsIsBqhxadd1PqqF%2Bmosbtb%2Fo7DJqRKM9h7bXCASgkvPbOQtFTrgTixG19RCgo%2FMAJnlzDPwETTYqjdDo3EzyaBUweWf1rTn%2BIvcxawVxNuePP9ktetYHxupNr7DwPNNy%2BrPwsMjyRr0f9FBbAMipg%2Fg0eLWHf%2BW4ddEYpIf%2BPRJ9ki%2BlY5xyAhEKTy%2B0Zvtn8oYxIR0Q%3D%3D&nvMid=88862658133&catId=50000249
